source_file,n_servers,n_vms,require_all_on,classic_objective,classic_status,classic_time_s,quantum_objective,quantum_status,quantum_time_s,speedup_x,best_solver,n_classic_residuals,n_quantum_residuals
q_20260324_175744_results.json,1,1,True,11.0,SUCCESS,0.151,11.0,SUCCESS,3.398,0.045,classical,3,3
q_20260324_175819_results.json,2,1,True,22.0,SUCCESS,0.094,22.0,SUCCESS,1.509,0.063,classical,1,1
q_20260324_175859_results.json,3,1,True,33.0,SUCCESS,0.163,33.0,SUCCESS,2.348,0.069,classical,1,1
q_20260324_175951_results.json,4,1,True,43.0,SUCCESS,0.596,43.0,SUCCESS,6.554,0.091,classical,1,1
q_20260324_180101_results.json,5,1,True,53.0,INFEASIBLE,0.367,53.0,INFEASIBLE,7.796,0.047,classical,1,1
q_20260324_180234_results.json,6,1,True,63.0,SUCCESS,0.39,63.0,SUCCESS,12.599,0.031,classical,1,1
q_20260324_175749_results.json,1,2,True,11.0,SUCCESS,0.163,11.0,SUCCESS,1.109,0.147,classical,1,1
q_20260324_175825_results.json,2,2,True,22.0,SUCCESS,0.186,22.0,SUCCESS,1.516,0.123,classical,1,1
q_20260324_175906_results.json,3,2,True,33.0,SUCCESS,0.309,33.0,SUCCESS,2.254,0.137,classical,1,1
q_20260324_180001_results.json,4,2,True,43.0,SUCCESS,0.738,43.0,SUCCESS,4.27,0.173,classical,1,1
q_20260324_180113_results.json,5,2,True,53.0,SUCCESS,0.774,53.0,SUCCESS,6.812,0.114,classical,1,1
q_20260324_180257_results.json,6,2,True,63.0,INFEASIBLE,1.09,63.0,INFEASIBLE,17.591,0.062,classical,1,1
q_20260324_175755_results.json,1,3,True,11.0,SUCCESS,0.22,11.0,SUCCESS,1.277,0.172,classical,1,1
q_20260324_175831_results.json,2,3,True,22.0,SUCCESS,0.383,22.0,SUCCESS,1.756,0.218,classical,1,1
q_20260324_175913_results.json,3,3,True,33.0,INFEASIBLE,0.476,33.0,INFEASIBLE,2.458,0.194,classical,1,1
q_20260324_180011_results.json,4,3,True,43.0,INFEASIBLE,1.001,43.0,INFEASIBLE,4.982,0.201,classical,1,1
q_20260324_180127_results.json,5,3,True,53.0,INFEASIBLE,1.196,53.0,INFEASIBLE,8.6,0.139,classical,1,1
q_20260324_180417_results.json,6,3,True,63.0,SUCCESS,6.991,63.0,SUCCESS,68.071,0.103,classical,4,4
q_20260324_175801_results.json,1,4,True,11.0,INFEASIBLE,0.342,11.0,INFEASIBLE,1.444,0.237,classical,1,1
q_20260324_175838_results.json,2,4,True,22.0,INFEASIBLE,0.591,22.0,INFEASIBLE,2.11,0.28,classical,1,1
q_20260324_175920_results.json,3,4,True,33.0,INFEASIBLE,0.789,33.0,INFEASIBLE,2.557,0.309,classical,1,1
q_20260324_180022_results.json,4,4,True,43.0,INFEASIBLE,1.203,43.0,INFEASIBLE,5.152,0.233,classical,1,1
q_20260324_180142_results.json,5,4,True,53.0,INFEASIBLE,1.68,53.0,INFEASIBLE,8.363,0.201,classical,1,1
q_20260324_180636_results.json,6,4,True,63.0,INFEASIBLE,14.456,63.0,INFEASIBLE,119.92,0.121,classical,8,8
q_20260324_175807_results.json,1,5,True,11.0,INFEASIBLE,0.465,11.0,INFEASIBLE,1.402,0.332,classical,1,1
q_20260324_175845_results.json,2,5,True,22.0,INFEASIBLE,0.792,22.0,INFEASIBLE,2.127,0.372,classical,1,1
q_20260324_175929_results.json,3,5,True,33.0,INFEASIBLE,1.054,33.0,INFEASIBLE,3.256,0.324,classical,1,1
q_20260324_180035_results.json,4,5,True,43.0,INFEASIBLE,1.994,43.0,INFEASIBLE,5.521,0.361,classical,1,1
q_20260324_180158_results.json,5,5,True,53.0,INFEASIBLE,1.992,53.0,INFEASIBLE,9.513,0.209,classical,1,1
q_20260324_180659_results.json,6,5,True,63.0,INFEASIBLE,2.55,63.0,INFEASIBLE,16.077,0.159,classical,1,1
q_20260324_175813_results.json,1,6,True,11.0,INFEASIBLE,0.639,11.0,INFEASIBLE,1.565,0.408,classical,1,1
q_20260324_175852_results.json,2,6,True,22.0,INFEASIBLE,0.957,22.0,INFEASIBLE,2.252,0.425,classical,1,1
q_20260324_175938_results.json,3,6,True,33.0,INFEASIBLE,1.58,33.0,INFEASIBLE,3.632,0.435,classical,1,1
q_20260324_180048_results.json,4,6,True,43.0,INFEASIBLE,2.372,43.0,INFEASIBLE,6.605,0.359,classical,1,1
q_20260324_180217_results.json,5,6,True,53.0,INFEASIBLE,3.161,53.0,INFEASIBLE,11.226,0.282,classical,1,1
q_20260324_180917_results.json,6,6,True,63.0,SUCCESS,25.556,63.0,SUCCESS,105.868,0.241,classical,7,7
