source_file,n_servers,n_vms,require_all_on,classic_objective,classic_status,classic_time_s,quantum_objective,quantum_status,quantum_time_s,speedup_x,best_solver,n_classic_residuals,n_quantum_residuals
q_20260324_233319_results.json,1,1,True,10.999575,INFEASIBLE,0.1,10.999575,INFEASIBLE,0.84,0.119,classical,1,1
q_20260324_233342_results.json,2,1,True,21.999029,INFEASIBLE,0.186,21.999029,INFEASIBLE,0.778,0.239,classical,1,1
q_20260324_233411_results.json,3,1,True,32.998501,INFEASIBLE,0.207,32.998501,INFEASIBLE,1.147,0.181,classical,1,1
q_20260324_233452_results.json,4,1,True,42.998181,INFEASIBLE,0.294,42.998181,INFEASIBLE,2.222,0.132,classical,1,1
q_20260324_233628_results.json,5,1,True,53.0,INFEASIBLE,0.392,53.0,INFEASIBLE,3.376,0.116,classical,1,1
q_20260324_233735_results.json,6,1,True,62.997566,INFEASIBLE,0.507,62.997566,INFEASIBLE,7.729,0.066,classical,1,1
q_20260324_233322_results.json,1,2,True,10.999764,INFEASIBLE,0.127,10.999764,INFEASIBLE,0.747,0.171,classical,1,1
q_20260324_233345_results.json,2,2,True,21.999442,INFEASIBLE,0.24,21.999442,INFEASIBLE,0.949,0.253,classical,1,1
q_20260324_233419_results.json,3,2,True,32.999169,INFEASIBLE,1.305,32.999169,INFEASIBLE,4.382,0.298,classical,3,3
q_20260324_233501_results.json,4,2,True,42.998677,INFEASIBLE,1.137,42.998677,INFEASIBLE,5.284,0.215,classical,2,2
q_20260324_233635_results.json,5,2,True,52.9988,INFEASIBLE,0.769,52.9988,INFEASIBLE,3.603,0.213,classical,1,1
q_20260324_233748_results.json,6,2,True,62.99866,INFEASIBLE,1.258,62.99866,INFEASIBLE,7.889,0.159,classical,1,1
q_20260324_233326_results.json,1,3,True,10.998333,INFEASIBLE,0.199,10.998333,INFEASIBLE,0.779,0.255,classical,1,1
q_20260324_233349_results.json,2,3,True,21.999603,INFEASIBLE,0.484,21.999603,INFEASIBLE,1.156,0.419,classical,1,1
q_20260324_233424_results.json,3,3,True,32.999315,INFEASIBLE,0.728,32.999315,INFEASIBLE,1.789,0.407,classical,1,1
q_20260324_233508_results.json,4,3,True,42.997907,INFEASIBLE,0.928,42.997907,INFEASIBLE,2.987,0.311,classical,1,1
q_20260324_233649_results.json,5,3,True,52.996482,INFEASIBLE,2.193,52.996482,INFEASIBLE,8.836,0.248,classical,2,2
q_20260324_233828_results.json,6,3,True,62.998603,INFEASIBLE,5.204,62.998603,INFEASIBLE,32.592,0.16,classical,3,3
q_20260324_233330_results.json,1,4,True,10.999911,INFEASIBLE,0.35,10.999911,INFEASIBLE,0.844,0.415,classical,1,1
q_20260324_233354_results.json,2,4,True,21.998853,INFEASIBLE,0.561,21.998853,INFEASIBLE,1.238,0.453,classical,1,1
q_20260324_233430_results.json,3,4,True,32.999578,INFEASIBLE,0.994,32.999578,INFEASIBLE,2.09,0.476,classical,1,1
q_20260324_233515_results.json,4,4,True,42.99812,INFEASIBLE,1.449,42.99812,INFEASIBLE,3.206,0.452,classical,1,1
q_20260324_233659_results.json,5,4,True,52.995688,INFEASIBLE,2.09,52.995688,INFEASIBLE,5.816,0.359,classical,1,1
q_20260324_233904_results.json,6,4,True,62.996207,INFEASIBLE,5.474,62.996207,INFEASIBLE,26.948,0.203,classical,2,2
q_20260324_233334_results.json,1,5,True,10.999756,INFEASIBLE,0.549,10.999756,INFEASIBLE,1.101,0.499,classical,1,1
q_20260324_233359_results.json,2,5,True,21.997352,INFEASIBLE,0.712,21.997352,INFEASIBLE,1.521,0.468,classical,1,1
q_20260324_233436_results.json,3,5,True,32.999403,INFEASIBLE,1.162,32.999403,INFEASIBLE,2.328,0.499,classical,1,1
q_20260324_233540_results.json,4,5,True,42.998486,INFEASIBLE,7.911,42.998486,INFEASIBLE,14.719,0.537,classical,4,4
q_20260324_233711_results.json,5,5,True,52.996739,INFEASIBLE,2.916,52.996739,INFEASIBLE,5.634,0.518,classical,1,1
q_20260324_233927_results.json,6,5,True,62.997524,INFEASIBLE,4.005,62.997524,INFEASIBLE,15.304,0.262,classical,1,1
q_20260324_233338_results.json,1,6,True,10.99984,INFEASIBLE,0.629,10.99984,INFEASIBLE,1.146,0.549,classical,1,1
q_20260324_233407_results.json,2,6,True,21.999483,INFEASIBLE,1.899,21.999483,INFEASIBLE,3.628,0.523,classical,2,2
q_20260324_233447_results.json,3,6,True,32.99956,INFEASIBLE,3.664,32.99956,INFEASIBLE,5.541,0.661,classical,2,2
q_20260324_233621_results.json,4,6,True,42.998702,INFEASIBLE,14.548,42.998702,INFEASIBLE,23.475,0.62,classical,5,5
q_20260324_233724_results.json,5,6,True,52.998043,INFEASIBLE,3.964,52.998043,INFEASIBLE,6.531,0.607,classical,1,1
q_20260324_234016_results.json,6,6,True,62.998388,INFEASIBLE,11.277,62.998388,INFEASIBLE,33.828,0.333,classical,2,2
