source_file,n_servers,n_vms,require_all_on,classic_objective,classic_status,classic_time_s,quantum_objective,quantum_status,quantum_time_s,speedup_x,best_solver,n_classic_residuals,n_quantum_residuals
q_20260324_164744_results.json,1,1,True,12.0,SUCCESS,0.083,12.0,SUCCESS,1.291,0.064,classical,1,1
q_20260324_164832_results.json,2,1,True,24.0,SUCCESS,0.263,24.0,SUCCESS,2.0,0.132,classical,1,1
q_20260324_164924_results.json,3,1,True,36.0,INFEASIBLE,0.251,36.0,INFEASIBLE,2.633,0.095,classical,1,1
q_20260324_165025_results.json,4,1,True,46.0,SUCCESS,0.342,46.0,SUCCESS,4.467,0.077,classical,1,1
q_20260324_165144_results.json,5,1,True,56.0,SUCCESS,1.111,56.0,SUCCESS,6.872,0.162,classical,1,1
q_20260324_165330_results.json,6,1,True,66.0,INFEASIBLE,0.708,66.0,INFEASIBLE,14.09,0.05,classical,1,1
q_20260324_164751_results.json,1,2,True,12.0,SUCCESS,0.279,12.0,SUCCESS,2.187,0.128,classical,1,1
q_20260324_164839_results.json,2,2,True,24.0,SUCCESS,0.366,24.0,SUCCESS,2.284,0.16,classical,1,1
q_20260324_164932_results.json,3,2,True,36.0,INFEASIBLE,0.538,36.0,INFEASIBLE,2.587,0.208,classical,1,1
q_20260324_165037_results.json,4,2,True,46.0,INFEASIBLE,0.884,46.0,INFEASIBLE,5.134,0.172,classical,1,1
q_20260324_165158_results.json,5,2,True,56.0,SUCCESS,1.053,56.0,SUCCESS,7.823,0.135,classical,1,1
q_20260324_165353_results.json,6,2,True,66.0,INFEASIBLE,1.266,66.0,INFEASIBLE,16.019,0.079,classical,1,1
q_20260324_164759_results.json,1,3,True,12.0,INFEASIBLE,0.318,12.0,INFEASIBLE,1.515,0.21,classical,1,1
q_20260324_164847_results.json,2,3,True,24.0,INFEASIBLE,0.462,24.0,INFEASIBLE,2.372,0.195,classical,1,1
q_20260324_164941_results.json,3,3,True,36.0,INFEASIBLE,0.857,36.0,INFEASIBLE,3.157,0.271,classical,1,1
q_20260324_165049_results.json,4,3,True,46.0,INFEASIBLE,1.321,46.0,INFEASIBLE,5.161,0.256,classical,1,1
q_20260324_165215_results.json,5,3,True,56.0,INFEASIBLE,1.494,56.0,INFEASIBLE,9.779,0.153,classical,1,1
q_20260324_165418_results.json,6,3,True,66.0,INFEASIBLE,1.904,66.0,INFEASIBLE,18.008,0.106,classical,1,1
q_20260324_164806_results.json,1,4,True,12.0,INFEASIBLE,0.426,12.0,INFEASIBLE,1.606,0.265,classical,1,1
q_20260324_164856_results.json,2,4,True,24.0,INFEASIBLE,0.823,24.0,INFEASIBLE,2.397,0.343,classical,1,1
q_20260324_164951_results.json,3,4,True,36.0,INFEASIBLE,1.174,36.0,INFEASIBLE,3.939,0.298,classical,1,1
q_20260324_165102_results.json,4,4,True,46.0,INFEASIBLE,1.629,46.0,INFEASIBLE,6.243,0.261,classical,1,1
q_20260324_165233_results.json,5,4,True,56.0,INFEASIBLE,2.333,56.0,INFEASIBLE,9.507,0.245,classical,1,1
q_20260324_165444_results.json,6,4,True,66.0,INFEASIBLE,2.407,66.0,INFEASIBLE,17.974,0.134,classical,1,1
q_20260324_164813_results.json,1,5,True,12.0,INFEASIBLE,0.596,12.0,INFEASIBLE,2.154,0.277,classical,1,1
q_20260324_164905_results.json,2,5,True,24.0,INFEASIBLE,1.185,24.0,INFEASIBLE,2.809,0.422,classical,1,1
q_20260324_165002_results.json,3,5,True,36.0,INFEASIBLE,1.54,36.0,INFEASIBLE,4.048,0.38,classical,1,1
q_20260324_165116_results.json,4,5,True,46.0,INFEASIBLE,2.098,46.0,INFEASIBLE,5.803,0.362,classical,1,1
q_20260324_165251_results.json,5,5,True,56.0,INFEASIBLE,2.978,56.0,INFEASIBLE,10.278,0.29,classical,1,1
q_20260324_165513_results.json,6,5,True,66.0,INFEASIBLE,3.757,66.0,INFEASIBLE,19.694,0.191,classical,1,1
q_20260324_164823_results.json,1,6,True,12.0,INFEASIBLE,1.177,12.0,INFEASIBLE,2.643,0.445,classical,1,1
q_20260324_164916_results.json,2,6,True,24.0,INFEASIBLE,1.334,24.0,INFEASIBLE,3.551,0.376,classical,1,1
q_20260324_165015_results.json,3,6,True,36.0,INFEASIBLE,2.298,36.0,INFEASIBLE,5.121,0.449,classical,1,1
q_20260324_165131_results.json,4,6,True,46.0,INFEASIBLE,3.087,46.0,INFEASIBLE,7.435,0.415,classical,1,1
q_20260324_165310_results.json,5,6,True,56.0,INFEASIBLE,4.326,56.0,INFEASIBLE,9.263,0.467,classical,1,1
q_20260324_165540_results.json,6,6,True,66.0,INFEASIBLE,3.82,66.0,INFEASIBLE,17.556,0.218,classical,1,1
