source_file,n_servers,n_vms,require_all_on,classic_objective,classic_status,classic_time_s,quantum_objective,quantum_status,quantum_time_s,speedup_x,best_solver,n_classic_residuals,n_quantum_residuals
q_20260325_144855_results.json,1,1,True,11.000022,SUCCESS,0.102,11.000022,SUCCESS,1.329,0.076,classical,1,1
q_20260325_144925_results.json,2,1,True,22.00001,SUCCESS,0.149,22.00001,SUCCESS,1.599,0.093,classical,1,1
q_20260325_144959_results.json,3,1,True,32.999992,INFEASIBLE,0.215,32.999992,INFEASIBLE,2.074,0.104,classical,1,1
q_20260325_145056_results.json,4,1,True,42.999972,INFEASIBLE,0.309,42.999972,INFEASIBLE,3.72,0.083,classical,1,1
q_20260325_145255_results.json,5,1,True,53.0,INFEASIBLE,0.398,53.0,INFEASIBLE,6.558,0.061,classical,1,1
q_20260325_145434_results.json,6,1,True,63.000012,INFEASIBLE,0.517,63.000012,INFEASIBLE,20.064,0.026,classical,1,1
q_20260325_152244_results.json,1,1,True,11.000022,SUCCESS,0.075,11.000022,SUCCESS,1.335,0.056,classical,1,1
q_20260325_152311_results.json,2,1,True,22.00001,SUCCESS,0.184,22.00001,SUCCESS,1.614,0.114,classical,1,1
q_20260325_152348_results.json,3,1,True,33.0,SUCCESS,0.336,33.0,SUCCESS,2.239,0.15,classical,1,1
q_20260325_152444_results.json,4,1,True,43.0,SUCCESS,0.334,43.0,SUCCESS,3.766,0.089,classical,1,1
q_20260325_152647_results.json,5,1,True,53.0,SUCCESS,0.463,53.0,SUCCESS,6.244,0.074,classical,1,1
q_20260325_152745_results.json,1,1,True,11.000022,SUCCESS,0.098,11.000022,SUCCESS,1.201,0.082,classical,1,1
q_20260325_152816_results.json,2,1,True,22.00001,SUCCESS,0.158,22.00001,SUCCESS,1.67,0.094,classical,1,1
q_20260325_152852_results.json,3,1,True,33.0,SUCCESS,0.218,33.0,SUCCESS,2.235,0.098,classical,1,1
q_20260325_152949_results.json,4,1,True,43.0,SUCCESS,0.325,43.0,SUCCESS,4.202,0.077,classical,1,1
