source_file,n_servers,n_vms,require_all_on,classic_objective,classic_status,classic_time_s,quantum_objective,quantum_status,quantum_time_s,speedup_x,best_solver,n_classic_residuals,n_quantum_residuals
q_20260328_152428_results.json,1,1,True,11.000022,SUCCESS,0.085,11.000022,SUCCESS,1.22,0.07,classical,1,1
q_20260328_152454_results.json,2,1,True,22.00001,SUCCESS,0.153,22.00001,SUCCESS,1.688,0.09,classical,1,1
q_20260328_152528_results.json,3,1,True,33.0,SUCCESS,0.215,33.0,SUCCESS,2.423,0.089,classical,1,1
q_20260328_152619_results.json,4,1,True,43.0,SUCCESS,0.309,43.0,SUCCESS,3.658,0.084,classical,1,1
q_20260328_153311_results.json,5,1,True,53.0,SUCCESS,0.405,53.0,SUCCESS,6.736,0.06,classical,1,1
q_20260328_153447_results.json,6,1,True,63.000032,SUCCESS,0.519,63.000032,SUCCESS,20.477,0.025,classical,1,1
q_20260328_152432_results.json,1,2,True,11.000027,SUCCESS,0.134,11.000027,SUCCESS,1.142,0.117,classical,1,1
q_20260328_152459_results.json,2,2,True,22.00004,SUCCESS,0.221,22.00004,SUCCESS,1.649,0.134,classical,1,1
q_20260328_152539_results.json,3,2,True,33.000046,SUCCESS,1.292,33.000046,SUCCESS,7.867,0.164,classical,3,3
q_20260328_152630_results.json,4,2,True,43.000004,SUCCESS,1.107,43.000004,SUCCESS,7.465,0.148,classical,2,2
q_20260328_153322_results.json,5,2,True,53.0,SUCCESS,0.814,53.0,SUCCESS,6.636,0.123,classical,1,1
q_20260328_153508_results.json,6,2,True,63.000068,SUCCESS,1.245,63.000068,SUCCESS,16.428,0.076,classical,1,1
q_20260328_152436_results.json,1,3,True,11.0,SUCCESS,0.202,11.0,SUCCESS,1.211,0.166,classical,1,1
q_20260328_152503_results.json,2,3,True,22.000095,SUCCESS,0.464,22.000095,SUCCESS,1.738,0.267,classical,1,1
q_20260328_152546_results.json,3,3,True,33.000117,SUCCESS,0.732,33.000117,SUCCESS,2.68,0.273,classical,1,1
q_20260328_152638_results.json,4,3,True,43.000017,SUCCESS,0.926,43.000017,SUCCESS,4.369,0.212,classical,1,1
q_20260328_153342_results.json,5,3,True,53.000679,SUCCESS,2.221,53.000679,SUCCESS,14.85,0.15,classical,2,2
q_20260328_153615_results.json,6,3,True,63.000031,SUCCESS,5.199,63.000031,SUCCESS,59.478,0.087,classical,3,3
q_20260328_152440_results.json,1,4,True,11.000061,SUCCESS,0.349,11.000061,SUCCESS,1.525,0.229,classical,1,1
q_20260328_152508_results.json,2,4,True,22.000007,SUCCESS,0.58,22.000007,SUCCESS,1.958,0.296,classical,1,1
q_20260328_152552_results.json,3,4,True,33.000079,SUCCESS,1.007,33.000079,SUCCESS,2.88,0.35,classical,1,1
q_20260328_152647_results.json,4,4,True,43.000044,SUCCESS,1.445,43.000044,SUCCESS,4.537,0.318,classical,1,1
q_20260328_153355_results.json,5,4,True,53.001269,SUCCESS,2.098,53.001269,SUCCESS,7.656,0.274,classical,1,1
q_20260328_153711_results.json,6,4,True,63.000365,SUCCESS,5.618,63.000365,SUCCESS,47.191,0.119,classical,2,2
q_20260328_152445_results.json,1,5,True,11.000017,SUCCESS,0.555,11.000017,SUCCESS,1.625,0.342,classical,1,1
q_20260328_152514_results.json,2,5,True,22.0001,SUCCESS,0.713,22.0001,SUCCESS,2.25,0.317,classical,1,1
q_20260328_152559_results.json,3,5,True,33.000012,SUCCESS,1.131,33.000012,SUCCESS,3.015,0.375,classical,1,1
q_20260328_153210_results.json,4,5,True,43.000072,SUCCESS,9.351,43.000072,SUCCESS,22.189,0.421,classical,4,4
q_20260328_153409_results.json,5,5,True,53.000396,SUCCESS,2.891,53.000396,SUCCESS,8.445,0.342,classical,1,1
q_20260328_153741_results.json,6,5,True,63.000876,SUCCESS,3.912,63.000876,SUCCESS,22.598,0.173,classical,1,1
q_20260328_152450_results.json,1,6,True,11.000067,SUCCESS,0.646,11.000067,SUCCESS,1.733,0.373,classical,1,1
q_20260328_152523_results.json,2,6,True,22.000607,SUCCESS,1.859,22.000607,SUCCESS,4.574,0.406,classical,2,2
q_20260328_152612_results.json,3,6,True,33.000025,SUCCESS,3.554,33.000025,SUCCESS,7.569,0.469,classical,2,2
q_20260328_153301_results.json,4,6,True,43.000981,SUCCESS,14.28,43.000981,SUCCESS,32.978,0.433,classical,5,5
q_20260328_153424_results.json,5,6,True,53.00236,SUCCESS,3.936,53.00236,SUCCESS,8.694,0.453,classical,1,1
q_20260328_153841_results.json,6,6,True,63.000177,SUCCESS,11.297,63.000177,SUCCESS,46.896,0.241,classical,2,2
