source_file,n_servers,n_vms,require_all_on,classic_objective,classic_status,classic_time_s,quantum_objective,quantum_status,quantum_time_s,speedup_x,best_solver,n_classic_residuals,n_quantum_residuals
q_20260324_183047_results.json,1,1,True,11.0,SUCCESS,0.162,11.0,SUCCESS,3.347,0.048,classical,3,3
q_20260324_183125_results.json,2,1,True,22.0,SUCCESS,0.099,22.0,SUCCESS,1.305,0.076,classical,1,1
q_20260324_183207_results.json,3,1,True,33.0,SUCCESS,0.165,33.0,SUCCESS,2.036,0.081,classical,1,1
q_20260324_183257_results.json,4,1,True,43.0,SUCCESS,0.255,43.0,SUCCESS,3.381,0.075,classical,1,1
q_20260324_183408_results.json,5,1,True,53.0,INFEASIBLE,0.279,53.0,INFEASIBLE,8.911,0.031,classical,1,1
q_20260324_183613_results.json,6,1,True,63.0,SUCCESS,0.811,63.0,SUCCESS,19.369,0.042,classical,1,1
q_20260324_183053_results.json,1,2,True,11.0,SUCCESS,0.165,11.0,SUCCESS,1.277,0.129,classical,1,1
q_20260324_183131_results.json,2,2,True,22.0,SUCCESS,0.204,22.0,SUCCESS,1.667,0.123,classical,1,1
q_20260324_183214_results.json,3,2,True,33.0,SUCCESS,0.317,33.0,SUCCESS,2.342,0.135,classical,1,1
q_20260324_183306_results.json,4,2,True,43.0,SUCCESS,0.542,43.0,SUCCESS,4.27,0.127,classical,1,1
q_20260324_183423_results.json,5,2,True,53.0,SUCCESS,0.786,53.0,SUCCESS,9.273,0.085,classical,1,1
q_20260324_183631_results.json,6,2,True,63.0,INFEASIBLE,0.847,63.0,INFEASIBLE,12.132,0.07,classical,1,1
q_20260324_183059_results.json,1,3,True,11.0,SUCCESS,0.233,11.0,SUCCESS,1.223,0.191,classical,1,1
q_20260324_183138_results.json,2,3,True,22.0,SUCCESS,0.405,22.0,SUCCESS,1.757,0.23,classical,1,1
q_20260324_183222_results.json,3,3,True,33.0,INFEASIBLE,0.498,33.0,INFEASIBLE,2.751,0.181,classical,1,1
q_20260324_183316_results.json,4,3,True,43.0,INFEASIBLE,0.878,43.0,INFEASIBLE,4.527,0.194,classical,1,1
q_20260324_183438_results.json,5,3,True,53.0,INFEASIBLE,1.417,53.0,INFEASIBLE,8.58,0.165,classical,1,1
q_20260324_183744_results.json,6,3,True,63.0,SUCCESS,5.771,63.0,SUCCESS,61.724,0.094,classical,4,4
q_20260324_183106_results.json,1,4,True,11.0,INFEASIBLE,0.361,11.0,INFEASIBLE,1.517,0.238,classical,1,1
q_20260324_183145_results.json,2,4,True,22.0,INFEASIBLE,0.566,22.0,INFEASIBLE,1.982,0.286,classical,1,1
q_20260324_183230_results.json,3,4,True,33.0,INFEASIBLE,0.831,33.0,INFEASIBLE,2.837,0.293,classical,1,1
q_20260324_183328_results.json,4,4,True,43.0,INFEASIBLE,1.269,43.0,INFEASIBLE,5.084,0.25,classical,1,1
q_20260324_183453_results.json,5,4,True,53.0,INFEASIBLE,1.771,53.0,INFEASIBLE,8.824,0.201,classical,1,1
q_20260324_184015_results.json,6,4,True,63.0,INFEASIBLE,16.083,63.0,INFEASIBLE,130.31,0.123,classical,8,8
q_20260324_183112_results.json,1,5,True,11.0,INFEASIBLE,0.494,11.0,INFEASIBLE,1.625,0.304,classical,1,1
q_20260324_183152_results.json,2,5,True,22.0,INFEASIBLE,0.849,22.0,INFEASIBLE,2.266,0.375,classical,1,1
q_20260324_183239_results.json,3,5,True,33.0,INFEASIBLE,1.081,33.0,INFEASIBLE,3.069,0.352,classical,1,1
q_20260324_183340_results.json,4,5,True,43.0,INFEASIBLE,1.832,43.0,INFEASIBLE,5.77,0.318,classical,1,1
q_20260324_183529_results.json,5,5,True,53.0,INFEASIBLE,1.776,53.0,INFEASIBLE,9.029,0.197,classical,1,1
q_20260324_184035_results.json,6,5,True,63.0,INFEASIBLE,2.345,63.0,INFEASIBLE,12.772,0.184,classical,1,1
q_20260324_183119_results.json,1,6,True,11.0,INFEASIBLE,0.676,11.0,INFEASIBLE,1.631,0.414,classical,1,1
q_20260324_183200_results.json,2,6,True,22.0,INFEASIBLE,1.008,22.0,INFEASIBLE,2.479,0.407,classical,1,1
q_20260324_183248_results.json,3,6,True,33.0,INFEASIBLE,1.662,33.0,INFEASIBLE,3.597,0.462,classical,1,1
q_20260324_183354_results.json,4,6,True,43.0,INFEASIBLE,2.548,43.0,INFEASIBLE,6.722,0.379,classical,1,1
q_20260324_183548_results.json,5,6,True,53.0,INFEASIBLE,2.799,53.0,INFEASIBLE,10.67,0.262,classical,1,1
q_20260324_184247_results.json,6,6,True,63.0,SUCCESS,21.501,63.0,SUCCESS,105.4,0.204,classical,7,7
